name,position,b,t,class,school,division,state,hometown,stats_link
Levi Abbott,RHP,R,R,Freshman,Canisius College,NCAA: Division 1,NY,"Lethbridge, Alberta",http://stats.ncaa.org/player/index?id=15580&org_id=116&stats_player_seq=2466751&year_stat_category_id=14841
Cohen Achen,RHP,R,R,Freshman,Lindsey Wilson College,NAIA,KY,"Calgary, Alberta",http://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=MBA&sea=NAIMBA_2021&team=1711&plr=196731
Maxime Adam,OF,L,R,Freshman,Indian Hills,JUCO: Division 1,IA,"Montreal, Quebec",https://www.njcaa.org/sports/bsb/2020-21/div1/players/maximeadambrhm?view=gamelog&pos=h
Justin Adamoski,RHP,R,R,Freshman,University of British Columbia,NAIA,BC,"Burnaby, British Columbia",
Ben Adams,LHP,R,L,Freshman,St. John's University,NCAA: Division 1,NY,"Ottawa, Ontario",http://stats.ncaa.org/player/index?id=15580&org_id=603&stats_player_seq=2508302&year_stat_category_id=14841
Brock Alexander,1B,R,R,Freshman,Dakota,JUCO: Division 2,ND,"Calgary, Alberta",https://www.njcaa.org/sports/bsb/2020-21/div2/players/brockalexandervvc5?view=gamelog&pos=h
Abraham Alvarez,C,R,R,Freshman,San Jacinto-North,JUCO: Division 1,TX,"Alvarez, Abraham",https://www.njcaa.org/sports/bsb/2020-21/div1/players/abrahamalvarez0lc7?view=gamelog&pos=h
Kyle Anderson,OF,L,R,Freshman,University of British Columbia,NAIA,BC,"Burnaby, British Columbia",
Shuta Araki,INF,,,Freshman,Colorado Northwestern,JUCO: Division 1,CO,"Victoria, BC",https://www.njcaa.org/sports/bsb/2020-21/div1/players/shutaarakiilk4?view=gamelog&pos=h
Carter Arbuthnot,IF,L,R,Freshman,Erie,JUCO: Division 3,NY,"Oshawa, Ontario",https://www.njcaa.org/sports/bsb/2020-21/div3/players/carterarbuthnot745o?view=gamelog&pos=h
Aidan Armitage,RHP,R,R,Freshman,University of Saint Francis,NAIA,IN,"Waterloo, Ontario",http://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=MBA&sea=NAIMBA_2021&team=1805&plr=189288
Darius Armorer,OF/RHP,R,R,Freshman,Bossier Parish,JUCO: Division 1,LA,"Whitby, Ontario",https://www.njcaa.org/sports/bsb/2020-21/div1/players/dariusarmorerst2c?view=gamelog&pos=h
Jamal Armstrong,OF,R,R,Freshman,St. Clair County,JUCO: Division 2,MI,"Etobicoke, Ontario",https://www.njcaa.org/sports/bsb/2020-21/div2/players/jamalarmstrongkfv9?view=gamelog&pos=h
Bryce Arnold,INF,,,Freshman,Campbell University,NCAA: Division 1,NC,"Grimsby, Ontario",http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=15580&org_id=115&stats_player_seq=2492972
Jared Arnold,RHP,R,R,Freshman,Colby,JUCO: Division 1,KS,"Red Deer, Alberta",https://www.njcaa.org/sports/bsb/2020-21/div1/players/jaredarnoldd15z?view=gamelog&pos=p
Ben Baker,C,,,Freshman,Dordt College,NAIA,IA,"Toronto, Ontario",
Thomas Bakoway,OF,R,L,Freshman,Siena Heights University,NAIA,MI,"Millarville, Alberta",
Udhay Bal,3B/1B,R,R,Freshman,Dodge City,JUCO: Division 1,KS,"Brampton, Ontario",https://www.njcaa.org/sports/bsb/2020-21/div1/players/udhaybal0jld?view=gamelog&pos=h
Ethan Baptie,OF,R,R,Freshman,Dodge City,JUCO: Division 1,KS,"Woodstock, Ontario",https://www.njcaa.org/sports/bsb/2020-21/div1/players/ethanbaptieu2bb?view=gamelog&pos=h
